,prob
0_HEBP1_GRM7_0,0.55218303
0_HEBP1_GRM7_1,0.53417677
0_HEBP1_GRM7_2,0.5341776
0_HEBP1_GRM7_3,0.53883916
0_HEBP1_GRM7_4,0.57227963
0_HEBP1_GRM7_5,0.53622645
0_HEBP1_GRM7_6,0.5306141
0_DCN_EGFR_0,0.65166855
0_DCN_EGFR_1,0.60223365
0_DCN_EGFR_2,0.60224
0_DCN_EGFR_3,0.6920779
0_DCN_EGFR_4,0.6682486
0_DCN_EGFR_5,0.6200803
0_DCN_EGFR_6,0.569171
0_DCN_ERBB4_0,0.5575371
0_DCN_ERBB4_1,0.5348526
0_DCN_ERBB4_2,0.5348532
0_DCN_ERBB4_3,0.55297893
0_DCN_ERBB4_4,0.57393396
0_DCN_ERBB4_5,0.5397391
0_DCN_ERBB4_6,0.53129625
0_GRN_TNFRSF1A_0,0.63246745
0_GRN_TNFRSF1A_1,0.50549895
0_GRN_TNFRSF1A_2,0.505505
0_GRN_TNFRSF1A_3,0.65105987
0_GRN_TNFRSF1A_4,0.60952854
0_GRN_TNFRSF1A_5,0.6025923
0_GRN_TNFRSF1A_6,0.47817707
0_GRN_SORT1_0,0.65614796
0_GRN_SORT1_1,0.4303654
0_GRN_SORT1_2,0.4303725
0_GRN_SORT1_3,0.64656454
0_GRN_SORT1_4,0.5831368
0_GRN_SORT1_5,0.61951345
0_GRN_SORT1_6,0.39707533
0_GRN_TNFRSF1B_0,0.7538564
0_GRN_TNFRSF1B_1,0.66939545
0_GRN_TNFRSF1B_2,0.66940147
0_GRN_TNFRSF1B_3,0.77141476
0_GRN_TNFRSF1B_4,0.76583046
0_GRN_TNFRSF1B_5,0.6419713
0_GRN_TNFRSF1B_6,0.6362253
0_GRN_CLEC4M_0,0.74556065
0_GRN_CLEC4M_1,0.5969668
0_GRN_CLEC4M_2,0.59697324
0_GRN_CLEC4M_3,0.7620148
0_GRN_CLEC4M_4,0.6774587
0_GRN_CLEC4M_5,0.7385657
0_GRN_CLEC4M_6,0.5628398
0_GRN_EGFR_0,0.57914686
0_GRN_EGFR_1,0.42481717
0_GRN_EGFR_2,0.42482218
0_GRN_EGFR_3,0.55572945
0_GRN_EGFR_4,0.52493197
0_GRN_EGFR_5,0.58165604
0_GRN_EGFR_6,0.39969727
0_UTS2_UTS2R_0,0.5099406
0_UTS2_UTS2R_1,0.50928944
0_UTS2_UTS2R_2,0.50929
0_UTS2_UTS2R_3,0.50450605
0_UTS2_UTS2R_4,0.54659534
0_UTS2_UTS2R_5,0.46569285
0_UTS2_UTS2R_6,0.5057784
0_ICAM3_CLEC4M_0,0.6327348
0_ICAM3_CLEC4M_1,0.5341785
0_ICAM3_CLEC4M_2,0.5341845
0_ICAM3_CLEC4M_3,0.60411966
0_ICAM3_CLEC4M_4,0.6086985
0_ICAM3_CLEC4M_5,0.60233825
0_ICAM3_CLEC4M_6,0.49424204
0_ICAM3_ITGB2_0,0.68826073
0_ICAM3_ITGB2_1,0.6787726
0_ICAM3_ITGB2_2,0.6787718
0_ICAM3_ITGB2_3,0.721421
0_ICAM3_ITGB2_4,0.6836374
0_ICAM3_ITGB2_5,0.6692519
0_ICAM3_ITGB2_6,0.66439867
0_ICAM3_CD209_0,0.6590623
0_ICAM3_CD209_1,0.5845856
0_ICAM3_CD209_2,0.5845902
0_ICAM3_CD209_3,0.6897564
0_ICAM3_CD209_4,0.627414
0_ICAM3_CD209_5,0.6358757
0_ICAM3_CD209_6,0.55709827
0_ICAM3_ITGAD_0,0.6397101
0_ICAM3_ITGAD_1,0.6334803
0_ICAM3_ITGAD_2,0.6334815
0_ICAM3_ITGAD_3,0.63266456
0_ICAM3_ITGAD_4,0.665533
0_ICAM3_ITGAD_5,0.6451966
0_ICAM3_ITGAD_6,0.6357043
0_CEACAM1_CD209_0,0.73030216
0_CEACAM1_CD209_1,0.7115672
0_CEACAM1_CD209_2,0.7115707
0_CEACAM1_CD209_3,0.75291014
0_CEACAM1_CD209_4,0.7352031
0_CEACAM1_CD209_5,0.71976304
0_CEACAM1_CD209_6,0.6883478
0_CEACAM1_SELE_0,0.6994727
0_CEACAM1_SELE_1,0.63002855
0_CEACAM1_SELE_2,0.630037
0_CEACAM1_SELE_3,0.68445
0_CEACAM1_SELE_4,0.6859083
0_CEACAM1_SELE_5,0.67719436
0_CEACAM1_SELE_6,0.59483
0_CEACAM1_EGFR_0,0.6695364
0_CEACAM1_EGFR_1,0.5980117
0_CEACAM1_EGFR_2,0.5980174
0_CEACAM1_EGFR_3,0.68455845
0_CEACAM1_EGFR_4,0.65799415
0_CEACAM1_EGFR_5,0.6373513
0_CEACAM1_EGFR_6,0.5662268
0_FGF4_FGFR2_0,0.5104605
0_FGF4_FGFR2_1,0.5096211
0_FGF4_FGFR2_2,0.5096217
0_FGF4_FGFR2_3,0.50502956
0_FGF4_FGFR2_4,0.5469627
0_FGF4_FGFR2_5,0.46689376
0_FGF4_FGFR2_6,0.5061095
0_FGF4_FGFR3_0,0.5099489
0_FGF4_FGFR3_1,0.50929266
0_FGF4_FGFR3_2,0.50929326
0_FGF4_FGFR3_3,0.5045142
0_FGF4_FGFR3_4,0.54659814
0_FGF4_FGFR3_5,0.4657108
0_FGF4_FGFR3_6,0.5057817
0_NTN1_UNC5D_0,0.5110836
0_NTN1_UNC5D_1,0.50996107
0_NTN1_UNC5D_2,0.5099616
0_NTN1_UNC5D_3,0.5056538
0_NTN1_UNC5D_4,0.5473346
0_NTN1_UNC5D_5,0.46941102
0_NTN1_UNC5D_6,0.5064485
0_NTN1_DCC_0,0.511186
0_NTN1_DCC_1,0.510152
0_NTN1_DCC_2,0.5101524
0_NTN1_DCC_3,0.5057559
0_NTN1_DCC_4,0.54756206
0_NTN1_DCC_5,0.46893954
0_NTN1_DCC_6,0.5066392
0_NTN1_UNC5A_0,0.5129283
0_NTN1_UNC5A_1,0.5110624
0_NTN1_UNC5A_2,0.5110629
0_NTN1_UNC5A_3,0.50750893
0_NTN1_UNC5A_4,0.54851186
0_NTN1_UNC5A_5,0.47180882
0_NTN1_UNC5A_6,0.50754887
0_NTN1_ADORA2B_0,0.5246716
0_NTN1_ADORA2B_1,0.5183453
0_NTN1_ADORA2B_2,0.51834583
0_NTN1_ADORA2B_3,0.5193168
0_NTN1_ADORA2B_4,0.5565205
0_NTN1_ADORA2B_5,0.487473
0_NTN1_ADORA2B_6,0.514827
0_NTN1_UNC5C_0,0.51772934
0_NTN1_UNC5C_1,0.5137316
0_NTN1_UNC5C_2,0.51373214
0_NTN1_UNC5C_3,0.5123393
0_NTN1_UNC5C_4,0.5514021
0_NTN1_UNC5C_5,0.4789888
0_NTN1_UNC5C_6,0.51021713
0_NTN1_NEO1_0,0.52777755
0_NTN1_NEO1_1,0.519217
0_NTN1_NEO1_2,0.51921767
0_NTN1_NEO1_3,0.52244896
0_NTN1_NEO1_4,0.5574376
0_NTN1_NEO1_5,0.49168506
0_NTN1_NEO1_6,0.5157414
0_FGF20_FGFR3_0,0.51059705
0_FGF20_FGFR3_1,0.5096827
0_FGF20_FGFR3_2,0.5096832
0_FGF20_FGFR3_3,0.5051635
0_FGF20_FGFR3_4,0.54702246
0_FGF20_FGFR3_5,0.46687126
0_FGF20_FGFR3_6,0.50617105
0_FGF20_FGFR2_0,0.5442417
0_FGF20_FGFR2_1,0.5323653
0_FGF20_FGFR2_2,0.53236604
0_FGF20_FGFR2_3,0.5391212
0_FGF20_FGFR2_4,0.57141536
0_FGF20_FGFR2_5,0.51163524
0_FGF20_FGFR2_6,0.5288276
0_DLL3_NOTCH2_0,0.7207231
0_DLL3_NOTCH2_1,0.65977603
0_DLL3_NOTCH2_2,0.6597817
0_DLL3_NOTCH2_3,0.7183879
0_DLL3_NOTCH2_4,0.70158213
0_DLL3_NOTCH2_5,0.7068849
0_DLL3_NOTCH2_6,0.62669563
0_DLL3_NOTCH3_0,0.5110063
0_DLL3_NOTCH3_1,0.5093348
0_DLL3_NOTCH3_2,0.5093353
0_DLL3_NOTCH3_3,0.50559455
0_DLL3_NOTCH3_4,0.5469132
0_DLL3_NOTCH3_5,0.46879327
0_DLL3_NOTCH3_6,0.5058157
0_VCL_ITGB5_0,0.68045217
0_VCL_ITGB5_1,0.48890677
0_VCL_ITGB5_2,0.4889125
0_VCL_ITGB5_3,0.63950026
0_VCL_ITGB5_4,0.5980355
0_VCL_ITGB5_5,0.6654646
0_VCL_ITGB5_6,0.4604056
0_EFNA2_EPHA7_0,0.50997883
0_EFNA2_EPHA7_1,0.50931424
0_EFNA2_EPHA7_2,0.5093148
0_EFNA2_EPHA7_3,0.5045453
0_EFNA2_EPHA7_4,0.5466239
0_EFNA2_EPHA7_5,0.4656385
0_EFNA2_EPHA7_6,0.50580305
0_EFNA2_EPHA10_0,0.5148695
0_EFNA2_EPHA10_1,0.5127356
0_EFNA2_EPHA10_2,0.512736
0_EFNA2_EPHA10_3,0.5096065
0_EFNA2_EPHA10_4,0.5508654
0_EFNA2_EPHA10_5,0.46027708
0_EFNA2_EPHA10_6,0.5092049
0_EFNA2_EPHA3_0,0.5101776
0_EFNA2_EPHA3_1,0.50928634
0_EFNA2_EPHA3_2,0.5092869
0_EFNA2_EPHA3_3,0.50476485
0_EFNA2_EPHA3_4,0.54659677
0_EFNA2_EPHA3_5,0.46550322
0_EFNA2_EPHA3_6,0.505773
0_EFNA2_EPHA6_0,0.50994754
0_EFNA2_EPHA6_1,0.5092942
0_EFNA2_EPHA6_2,0.5092947
0_EFNA2_EPHA6_3,0.5045132
0_EFNA2_EPHA6_4,0.54660064
0_EFNA2_EPHA6_5,0.46570453
0_EFNA2_EPHA6_6,0.50578314
0_EFNA2_EPHA4_0,0.51059055
0_EFNA2_EPHA4_1,0.50958514
0_EFNA2_EPHA4_2,0.5095856
0_EFNA2_EPHA4_3,0.5051918
0_EFNA2_EPHA4_4,0.5469401
0_EFNA2_EPHA4_5,0.4629546
0_EFNA2_EPHA4_6,0.5060703
0_EFNA2_EPHA2_0,0.5103416
0_EFNA2_EPHA2_1,0.5094084
0_EFNA2_EPHA2_2,0.5094088
0_EFNA2_EPHA2_3,0.50492847
0_EFNA2_EPHA2_4,0.5467193
0_EFNA2_EPHA2_5,0.463937
0_EFNA2_EPHA2_6,0.5058955
0_MADCAM1_ITGA4_0,0.68181175
0_MADCAM1_ITGA4_1,0.61887765
0_MADCAM1_ITGA4_2,0.61887854
0_MADCAM1_ITGA4_3,0.6940045
0_MADCAM1_ITGA4_4,0.6791739
0_MADCAM1_ITGA4_5,0.6976077
0_MADCAM1_ITGA4_6,0.61603594
0_MADCAM1_ITGB7_0,0.5307087
0_MADCAM1_ITGB7_1,0.52304333
0_MADCAM1_ITGB7_2,0.5230439
0_MADCAM1_ITGB7_3,0.5253955
0_MADCAM1_ITGB7_4,0.56121373
0_MADCAM1_ITGB7_5,0.49487305
0_MADCAM1_ITGB7_6,0.51950645
0_TCN2_CNR1_0,0.58651024
0_TCN2_CNR1_1,0.5557039
0_TCN2_CNR1_2,0.55570453
0_TCN2_CNR1_3,0.5759585
0_TCN2_CNR1_4,0.5948818
0_TCN2_CNR1_5,0.57709146
0_TCN2_CNR1_6,0.5522528
0_LGALS1_PTPRC_0,0.68330616
0_LGALS1_PTPRC_1,0.6592725
0_LGALS1_PTPRC_2,0.65927434
0_LGALS1_PTPRC_3,0.7058081
0_LGALS1_PTPRC_4,0.69028944
0_LGALS1_PTPRC_5,0.6608259
0_LGALS1_PTPRC_6,0.6188734
0_NID2_COL13A1_0,0.66843826
0_NID2_COL13A1_1,0.5933591
0_NID2_COL13A1_2,0.5933653
0_NID2_COL13A1_3,0.6659908
0_NID2_COL13A1_4,0.6561239
0_NID2_COL13A1_5,0.63015455
0_NID2_COL13A1_6,0.56161636
0_RSPO4_LGR4_0,0.510794
0_RSPO4_LGR4_1,0.50967073
0_RSPO4_LGR4_2,0.5096713
0_RSPO4_LGR4_3,0.5053707
0_RSPO4_LGR4_4,0.54700094
0_RSPO4_LGR4_5,0.46904743
0_RSPO4_LGR4_6,0.5061584
0_RSPO4_LGR5_0,0.5106411
0_RSPO4_LGR5_1,0.5096074
