Ligand_id	Ligand_symbol	Ligand_location	Receptor_id	Receptor_symbol	Receptor.location	Type	KEGG.pathway	Pmubmed.ID	Other.DB	LRID
1000	CDH2	Membrane	1000	CDH2	Membrane	Cell adhesion	hsa04514:Cell adhesion molecules (CAMs)	32196115		LR00001
10022	INSL5	Secreted	339403	RXFP4	Membrane	Secreted protein to receptor interaction	hsa04080:Neuroactive ligand-receptor interaction;hsa04926:Relaxin signaling pathway	15525639;27888281;25761609;15465925	HPMR;IUPHAR	LR00004
10022	INSL5	Secreted	51289	RXFP3	Membrane	Secreted protein to receptor interaction	hsa04080:Neuroactive ligand-receptor interaction	15525639;25761609	IUPHAR	LR00005
2022	ENG	Membrane	1003	CDH5	Membrane	Cell adhesion		18337748		LR00008
2244	FGB	Secreted	1003	CDH5	Membrane	Secreted protein to receptor interaction		11900554		LR00009
51129	ANGPTL4	Secreted	1003	CDH5	Membrane	Secreted protein to receptor interaction		30049845		LR00010
7046	TGFBR1	Membrane	1003	CDH5	Membrane	Cell adhesion		18337748		LR00011
7048	TGFBR2	Membrane	1003	CDH5	Membrane	Cell adhesion		18337748		LR00012
8190	MIA	Secreted	1005	CDH7	Membrane	Secreted protein to receptor interaction		19200257		LR00013
100506658	OCLN	Membrane	100506658	OCLN	Membrane	Cell adhesion	hsa04514:Cell adhesion molecules (CAMs);hsa04530:Tight junction	32196115		LR00014
10068	IL18BP	Secreted	11026	LILRA3	Membrane	Cytokine-cytokine receptor interaction		32822567		LR00015
10068	IL18BP	Secreted	115653	KIR3DL3	Membrane	Cytokine-cytokine receptor interaction		32822567		LR00016
5764	PTN	Secreted	1008	CDH10	Membrane	Secreted protein to receptor interaction		16169070		LR00017
51129	ANGPTL4	Secreted	1009	CDH11	Membrane	Secreted protein to receptor interaction		30049845		LR00018
10098	TSPAN5	Membrane	27075	TSPAN13	Membrane	Cell adhesion		17965585		LR00019
80031	SEMA6D	Membrane	10154	PLXNC1	Membrane	Cell adhesion		26633812		LR00021
102	ADAM10	Membrane	10098	TSPAN5	Membrane	Cell adhesion		23035126		LR00022
10099	TSPAN3	Membrane	102	ADAM10	Membrane	Cell adhesion		31112308		LR00023
102	ADAM10	Membrane	1944	EFNA3	Membrane	Cell adhesion		19823572		LR00024
2042	EPHA3	Membrane	102	ADAM10	Membrane	Cell adhesion		16239146		LR00025
102	ADAM10	Membrane	23555	TSPAN15	Membrane	Cell adhesion		23035126		LR00026
102	ADAM10	Membrane	26262	TSPAN17	Membrane	Cell adhesion		23035126		LR00027
102	ADAM10	Membrane	340348	TSPAN33	Membrane	Cell adhesion		23035126		LR00028
102	ADAM10	Membrane	4851	NOTCH1	Membrane	Cell adhesion		22399336		LR00029
102	ADAM10	Membrane	5010	CLDN11	Membrane	Cell adhesion		31112308		LR00030
558	AXL	Membrane	102	ADAM10	Membrane	Cell adhesion		16227584;7822279		LR00031
102	ADAM10	Membrane	780	DDR1	Membrane	Cell adhesion		25540428		LR00032
102	ADAM10	Membrane	81619	TSPAN14	Membrane	Cell adhesion		23035126		LR00033
102	ADAM10	Membrane	83882	TSPAN10	Membrane	Cell adhesion		23035126		LR00034
79924	ADM2	Secreted	10203	CALCRL	Membrane	Secreted protein to receptor interaction		14615490	HPMR	LR00035
196264	MPZL3	Membrane	10205	MPZL2	Membrane	Cell adhesion		32822567		LR00036
10218	ANGPTL7	Secreted	10288	LILRB2	Membrane	Secreted protein to receptor interaction		24478758		LR00037
10220	GDF11	Secreted	130399	ACVR1C	Membrane	Cytokine-cytokine receptor interaction		16845371		LR00038
79924	ADM2	Secreted	10266	RAMP2	Membrane	Secreted protein to receptor interaction		20596793		LR00039
85443	DCLK3	Membrane	10266	RAMP2	Membrane	Cell adhesion		30139742		LR00040
79924	ADM2	Secreted	10267	RAMP1	Membrane	Secreted protein to receptor interaction		30139742;12684503	HPMR	LR00041
85443	DCLK3	Membrane	10267	RAMP1	Membrane	Cell adhesion		30139742		LR00042
79924	ADM2	Secreted	10268	RAMP3	Membrane	Secreted protein to receptor interaction		20596793		LR00043
85443	DCLK3	Membrane	10268	RAMP3	Membrane	Cell adhesion		30139742		LR00044
10288	LILRB2	Membrane	100049587	SIGLEC14	Membrane	Cell adhesion		32822567		LR00045
10288	LILRB2	Membrane	11026	LILRA3	Membrane	Cell adhesion		32822567		LR00046
115650	TNFRSF13C	Membrane	10288	LILRB2	Membrane	Cell adhesion		32822567		LR00047
23452	ANGPTL2	Secreted	10288	LILRB2	Membrane	Secreted protein to receptor interaction		24478758		LR00048
10288	LILRB2	Membrane	27180	SIGLEC9	Membrane	Cell adhesion		32822567		LR00049
10288	LILRB2	Membrane	284266	SIGLEC15	Membrane	Cell adhesion		32822567		LR00050
29992	PILRA	Membrane	10288	LILRB2	Membrane	Cell adhesion		32822567		LR00051
51561	IL23A	Secreted	10288	LILRB2	Membrane	Cytokine-cytokine receptor interaction		32822567		LR00052
56884	FSTL5	Secreted	10288	LILRB2	Membrane	Secreted protein to receptor interaction		32822567		LR00053
79908	BTNL8	Membrane	10288	LILRB2	Membrane	Cell adhesion		32822567		LR00054
10288	LILRB2	Membrane	89790	SIGLEC10	Membrane	Cell adhesion		32822567		LR00055
10874	NMU	Secreted	10316	NMUR1	Membrane	Cytokine-cytokine receptor interaction	hsa04080:Neuroactive ligand-receptor interaction	15292653;15331768;10811630;10894543;10899166	HPMR;IUPHAR	LR00056
129521	NMS	Secreted	10316	NMUR1	Membrane	Secreted protein to receptor interaction		15635449;29288685	HPMR;IUPHAR	LR00057
124220	ZG16B	Secreted	10333	TLR6	Membrane	Cytokine-cytokine receptor interaction		20802527		LR00059
10344	CCL26	Secreted	729230	CCR2	Membrane	Cytokine-cytokine receptor interaction	hsa04062:Chemokine signaling pathway	15207250	IUPHAR;CellphoneDB	LR00060
26762	HAVCR1	Membrane	10384	BTN3A3	Membrane	Cell adhesion		32822567		LR00061
1043	CD52	Membrane	89790	SIGLEC10	Membrane	Cell adhesion		23685786	CellphoneDB	LR00062
4680	CEACAM6	Membrane	1048	CEACAM5	Membrane	Cell adhesion		11590190		LR00063
56729	RETN	Secreted	10487	CAP1	Membrane	Secreted protein to receptor interaction		30809105		LR00064
10501	SEMA6B	Membrane	91584	PLXNA4	Membrane	Cell adhesion		27533782;26633812		LR00065
10507	SEMA4D	Membrane	23654	PLXNB2	Membrane	Cell adhesion	hsa04350:TGF-beta signaling pathway	27533782;26633812	HPMR;CellphoneDB	LR00066
10509	SEMA4B	Membrane	266626	CLCP1	Membrane	Cell adhesion		17213806		LR00067
10512	SEMA3C	Secreted	23129	PLXND1	Membrane	Secreted protein to receptor interaction		27533782		LR00068
10544	PROCR	Membrane	89790	SIGLEC10	Membrane	Cell adhesion		32822567		LR00069
1056	CEL	Secreted	7852	CXCR4	Membrane	Cytokine-cytokine receptor interaction		18037996		LR00070
10563	CXCL13	Secreted	51554	ACKR4	Membrane	Cytokine-cytokine receptor interaction		10706668	CellphoneDB	LR00071
58191	CXCL16	Secreted	10663	CXCR6	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04062:Chemokine signaling pathway	11017100;14625285;11290797	HPMR;IUPHAR	LR00072
10673	TNFSF13B	Membrane	115650	TNFRSF13C	Membrane	Cell adhesion	hsa04060:Cytokine-cytokine receptor interaction;hsa04064:NF-kappa B signaling pathway	12721620;15851487;11509692	HPMR;IUPHAR	LR00073
10673	TNFSF13B	Membrane	23495	TNFRSF13B	Membrane	Cell adhesion	hsa04060:Cytokine-cytokine receptor interaction	10801128;10956646	HPMR;IUPHAR	LR00074
10686	CLDN16	Membrane	149461	CLDN19	Membrane	Cell adhesion	hsa04514:Cell adhesion molecules (CAMs);hsa04530:Tight junction	28028216;19706394		LR00076
23562	CLDN14	Membrane	10686	CLDN16	Membrane	Cell adhesion	hsa04514:Cell adhesion molecules (CAMs);hsa04530:Tight junction	29782346		LR00077
56302	TRPV5	Membrane	10686	CLDN16	Membrane	Cell adhesion		31488724		LR00081
53942	CNTN5	Membrane	10752	CHL1	Membrane	Cell adhesion		32822567		LR00082
56884	FSTL5	Secreted	10752	CHL1	Membrane	Secreted protein to receptor interaction		32822567		LR00083
3320	HSP90AA1	Membrane	1080	CFTR	Membrane	Cell adhesion		9843494		LR00084
7082	TJP1	Membrane	1080	CFTR	Membrane	Cell adhesion		25107366		LR00085
1081	CGA	Secreted	3973	LHCGR	Membrane	Secreted protein to receptor interaction	hsa04080:Neuroactive ligand-receptor interaction;hsa04024:cAMP signaling pathway;hsa04913:Ovarian steroidogenesis;hsa04917:Prolactin signaling pathway	1922095;12727981;10342833	HPMR;IUPHAR	LR00087
10859	LILRB1	Membrane	10913	EDAR	Membrane	Cell adhesion		32822567		LR00090
10859	LILRB1	Membrane	286676	ILDR1	Membrane	Cell adhesion		32822567		LR00091
79908	BTNL8	Membrane	10859	LILRB1	Membrane	Cell adhesion		32822567		LR00092
10859	LILRB1	Membrane	90273	CEACAM21	Membrane	Cell adhesion		32822567		LR00093
100507436	MICA	Membrane	10870	HCST	Membrane	Cell adhesion		11513139		LR00094
79465	ULBP3	Membrane	10870	HCST	Membrane	Cell adhesion		11513139		LR00095
80328	ULBP2	Membrane	10870	HCST	Membrane	Cell adhesion		11513139		LR00096
10874	NMU	Secreted	56923	NMUR2	Membrane	Cytokine-cytokine receptor interaction	hsa04080:Neuroactive ligand-receptor interaction	15292653;15331768;10887190;10894543;10899166	HPMR;IUPHAR	LR00097
4680	CEACAM6	Membrane	1088	CEACAM8	Membrane	Cell adhesion		11590190	CellphoneDB	LR00098
64111	NPVF	Secreted	10886	NPFFR2	Membrane	Secreted protein to receptor interaction		12242085;29106375;12421602	IUPHAR	LR00099
60675	PROK2	Secreted	10887	PROKR1	Membrane	Secreted protein to receptor interaction		24496457;15772293;12054613	IUPHAR	LR00100
84432	PROK1	Secreted	10887	PROKR1	Membrane	Secreted protein to receptor interaction		24496457;11886876;15772293;12054613	HPMR;IUPHAR	LR00101
2324	FLT4	Membrane	1089	CEACAM4	Membrane	Cell adhesion		32822567		LR00102
1089	CEACAM4	Membrane	80380	PDCD1LG2	Membrane	Cell adhesion		32822567		LR00103
29992	PILRA	Membrane	10990	LILRB5	Membrane	Cell adhesion		32822567		LR00104
51330	TNFRSF12A	Membrane	10990	LILRB5	Membrane	Cell adhesion		32822567		LR00105
