Ligand_id	Ligand_symbol	Ligand_location	Receptor_id	Receptor_symbol	Receptor.location	Type	KEGG.pathway	Pmubmed.ID	Other.DB	LRID
12558	Cdh2	Membrane	12558	Cdh2	Membrane	Cell adhesion	mmu04514:Cell adhesion molecules (CAMs)	32196115		LR03901
23919	Insl5	Secreted	242093	Rxfp4	Membrane	Secreted protein to receptor interaction	mmu04080:Neuroactive ligand-receptor interaction;mmu04926:Relaxin signaling pathway	15525639;15465925;25761609;27888281	IUPHAR;HPMR	LR03904
13805	Eng	Membrane	12562	Cdh5	Membrane	Cell adhesion		18337748		LR03907
110135	Fgb	Secreted	12562	Cdh5	Membrane	Secreted protein to receptor interaction		11900554		LR03908
57875	Angptl4	Secreted	12562	Cdh5	Membrane	Secreted protein to receptor interaction		30049845		LR03909
21812	Tgfbr1	Membrane	12562	Cdh5	Membrane	Cell adhesion		18337748		LR03910
21813	Tgfbr2	Membrane	12562	Cdh5	Membrane	Cell adhesion		18337748		LR03911
12587	Mia	Secreted	241201	Cdh7	Membrane	Cytokine-cytokine receptor interaction		19200257		LR03912
18260	Ocln	Membrane	18260	Ocln	Membrane	Cell adhesion	mmu04514:Cell adhesion molecules (CAMs);mmu04530:Tight junction	32196115		LR03913
19242	Ptn	Secreted	320873	Cdh10	Membrane	Secreted protein to receptor interaction		16169070		LR03914
57875	Angptl4	Secreted	12552	Cdh11	Membrane	Secreted protein to receptor interaction		30049845		LR03915
56224	Tspan5	Membrane	66109	Tspan13	Membrane	Cell adhesion		17965585		LR03916
214968	Sema6d	Membrane	54712	Plxnc1	Membrane	Cell adhesion		26633812		LR03918
11487	Adam10	Membrane	56224	Tspan5	Membrane	Cell adhesion		23035126		LR03919
56434	Tspan3	Membrane	11487	Adam10	Membrane	Cell adhesion		31112308		LR03920
11487	Adam10	Membrane	13638	Efna3	Membrane	Cell adhesion		19823572		LR03921
13837	Epha3	Membrane	11487	Adam10	Membrane	Cell adhesion		16239146		LR03922
11487	Adam10	Membrane	70423	Tspan15	Membrane	Cell adhesion		23035126		LR03923
11487	Adam10	Membrane	74257	Tspan17	Membrane	Cell adhesion		23035126		LR03924
11487	Adam10	Membrane	232670	Tspan33	Membrane	Cell adhesion		23035126		LR03925
11487	Adam10	Membrane	18128	Notch1	Membrane	Cell adhesion		22399336		LR03926
11487	Adam10	Membrane	18417	Cldn11	Membrane	Cell adhesion		31112308		LR03927
26362	Axl	Membrane	11487	Adam10	Membrane	Cell adhesion		16227584;7822279		LR03928
11487	Adam10	Membrane	12305	Ddr1	Membrane	Cell adhesion		16440311		LR03929
11487	Adam10	Membrane	52588	Tspan14	Membrane	Cell adhesion		23035126		LR03930
11487	Adam10	Membrane	208634	Tspan10	Membrane	Cell adhesion		23035126		LR03931
223780	Adm2	Secreted	54598	Calcrl	Membrane	Secreted protein to receptor interaction		14615490	HPMR	LR03932
319742	Mpzl3	Membrane	14012	Mpzl2	Membrane	Cell adhesion		32822567		LR03933
14561	Gdf11	Secreted	269275	Acvr1c	Membrane	Cytokine-cytokine receptor interaction		16845371		LR03934
223780	Adm2	Secreted	54409	Ramp2	Membrane	Secreted protein to receptor interaction		20596793		LR03935
245038	Dclk3	Membrane	54409	Ramp2	Membrane	Cell adhesion		30139742		LR03936
223780	Adm2	Secreted	51801	Ramp1	Membrane	Secreted protein to receptor interaction		30139742;12684503	HPMR	LR03937
245038	Dclk3	Membrane	51801	Ramp1	Membrane	Cell adhesion		30139742		LR03938
223780	Adm2	Secreted	56089	Ramp3	Membrane	Secreted protein to receptor interaction		20596793		LR03939
245038	Dclk3	Membrane	56089	Ramp3	Membrane	Cell adhesion		30139742		LR03940
56183	Nmu	Secreted	14767	Nmur1	Membrane	Cytokine-cytokine receptor interaction	mmu04080:Neuroactive ligand-receptor interaction	15331768;10811630;10894543;10899166;15292653	IUPHAR;HPMR	LR03941
433292	Nms	Secreted	14767	Nmur1	Membrane	Secreted protein to receptor interaction		15635449;29288685	IUPHAR;HPMR	LR03942
23833	Cd52	Membrane	243958	Siglecg	Membrane	Cell adhesion		23685786	CellphoneDB	LR03944
57264	Retn	Secreted	12331	Cap1	Membrane	Secreted protein to receptor interaction		30809105		LR03945
20359	Sema6b	Membrane	243743	Plxna4	Membrane	Cell adhesion		27533782;26633812		LR03946
115488166	Sema4d	Membrane	140570	Plxnb2	Membrane	Cell adhesion	mmu04350:TGF-beta signaling pathway	27533782;26633812	HPMR;CellphoneDB	LR03947
20348	Sema3c	Secreted	67784	Plxnd1	Membrane	Secreted protein to receptor interaction		27533782		LR03948
19124	Procr	Membrane	243958	Siglecg	Membrane	Cell adhesion		32822567		LR03949
12613	Cel	Secreted	12767	Cxcr4	Membrane	Cytokine-cytokine receptor interaction		18037996		LR03950
55985	Cxcl13	Secreted	252837	Ackr4	Membrane	Cytokine-cytokine receptor interaction		10706668	CellphoneDB	LR03951
66102	Cxcl16	Secreted	80901	Cxcr6	Membrane	Cytokine-cytokine receptor interaction	mmu04060:Cytokine-cytokine receptor interaction;mmu04062:Chemokine signaling pathway	14625285;11290797;11017100	IUPHAR;HPMR	LR03952
24099	Tnfsf13b	Membrane	72049	Tnfrsf13c	Membrane	Cell adhesion	mmu04060:Cytokine-cytokine receptor interaction;mmu04064:NF-kappa B signaling pathway	15851487;12721620;11509692	IUPHAR;HPMR	LR03953
24099	Tnfsf13b	Membrane	57916	Tnfrsf13b	Membrane	Cell adhesion	mmu04060:Cytokine-cytokine receptor interaction	10956646;10801128	IUPHAR;HPMR	LR03954
114141	Cldn16	Membrane	242653	Cldn19	Membrane	Cell adhesion	mmu04514:Cell adhesion molecules (CAMs);mmu04530:Tight junction	28028216;19706394		LR03956
56173	Cldn14	Membrane	114141	Cldn16	Membrane	Cell adhesion	mmu04514:Cell adhesion molecules (CAMs);mmu04530:Tight junction	29782346		LR03957
194352	Trpv5	Membrane	114141	Cldn16	Membrane	Cell adhesion		31488724		LR03960
244682	Cntn5	Membrane	12661	Chl1	Membrane	Cell adhesion		32822567		LR03961
213262	Fstl5	Secreted	12661	Chl1	Membrane	Secreted protein to receptor interaction		32822567		LR03962
15519	Hsp90aa1	Membrane	12638	Cftr	Membrane	Cell adhesion		9843494		LR03963
21872	Tjp1	Membrane	12638	Cftr	Membrane	Cell adhesion		25107366		LR03964
12640	Cga	Secreted	16867	Lhcgr	Membrane	Secreted protein to receptor interaction	mmu04080:Neuroactive ligand-receptor interaction;mmu04024:cAMP signaling pathway;mmu04913:Ovarian steroidogenesis;mmu04917:Prolactin signaling pathway	10342833;1922095;12727981	IUPHAR;HPMR	LR03966
266815	Mill1	Membrane	23900	Hcst	Membrane	Cell adhesion		11513139		LR03969
56183	Nmu	Secreted	216749	Nmur2	Membrane	Cytokine-cytokine receptor interaction	mmu04080:Neuroactive ligand-receptor interaction	15331768;10887190;10894543;10899166;15292653	IUPHAR;HPMR	LR03970
60531	Npvf	Secreted	104443	Npffr2	Membrane	Secreted protein to receptor interaction		29106375;12421602;12242085	IUPHAR	LR03971
14257	Flt4	Membrane	434540	Psg20	Membrane	Cell adhesion		32822567		LR03972
434540	Psg20	Membrane	58205	Pdcd1lg2	Membrane	Cell adhesion		32822567		LR03973
27279	Tnfrsf12a	Membrane	18726	Lilra6	Membrane	Cell adhesion		32822567		LR03974
114873	Dscaml1	Membrane	19281	Ptprt	Membrane	Cell adhesion		32822567		LR03975
243764	Chrm2	Membrane	12671	Chrm3	Membrane	Cell adhesion		30090216		LR03976
57277	Slurp1	Secreted	110834	Chrna3	Membrane	Cytokine-cytokine receptor interaction	mmu04080:Neuroactive ligand-receptor interaction	29192197		LR03979
57277	Slurp1	Secreted	11438	Chrna4	Membrane	Cytokine-cytokine receptor interaction	mmu04080:Neuroactive ligand-receptor interaction	29192197		LR03980
57277	Slurp1	Secreted	11441	Chrna7	Membrane	Cytokine-cytokine receptor interaction	mmu04080:Neuroactive ligand-receptor interaction	25558396		LR03982
57277	Slurp1	Secreted	11444	Chrnb2	Membrane	Cytokine-cytokine receptor interaction	mmu04080:Neuroactive ligand-receptor interaction	29192197		LR03984
57277	Slurp1	Secreted	108015	Chrnb4	Membrane	Cytokine-cytokine receptor interaction	mmu04080:Neuroactive ligand-receptor interaction	29192197		LR03986
12700	Cish	Membrane	13857	Epor	Membrane	Cell adhesion		28038963		LR03990
11516	Adcyap1	Secreted	11517	Adcyap1r1	Membrane	Secreted protein to receptor interaction	mmu04080:Neuroactive ligand-receptor interaction;mmu04024:cAMP signaling pathway;mmu04713:Circadian entrainment;mmu04911:Insulin secretion;mmu04924:Renin secretion	8703026;8253796;21350482;10100920;10583729;12488235;11931347;16930633	HPMR	LR03991
11516	Adcyap1	Secreted	13482	Dpp4	Membrane	Secreted protein to receptor interaction		21314817		LR03992
11516	Adcyap1	Secreted	22354	Vipr1	Membrane	Secreted protein to receptor interaction		9928018;11897681;8791009;12488235;11931347;16930633;12429744	IUPHAR;HPMR	LR03993
