Ligand_symbol,Receptor_symbol,interaction_name,pathway_name,interaction_name_2
TGFB1,TGFBR1_TGFBR2,TGFB1_TGFBR1_TGFBR2,TGFb,TGFB1 - (TGFBR1+TGFBR2)
TGFB2,TGFBR1_TGFBR2,TGFB2_TGFBR1_TGFBR2,TGFb,TGFB2 - (TGFBR1+TGFBR2)
TGFB3,TGFBR1_TGFBR2,TGFB3_TGFBR1_TGFBR2,TGFb,TGFB3 - (TGFBR1+TGFBR2)
TGFB1,ACVR1B_TGFbR2,TGFB1_ACVR1B_TGFBR2,TGFb,TGFB1 - (ACVR1B+TGFBR2)
TGFB1,ACVR1C_TGFbR2,TGFB1_ACVR1C_TGFBR2,TGFb,TGFB1 - (ACVR1C+TGFBR2)
TGFB2,ACVR1B_TGFbR2,TGFB2_ACVR1B_TGFBR2,TGFb,TGFB2 - (ACVR1B+TGFBR2)
TGFB2,ACVR1C_TGFbR2,TGFB2_ACVR1C_TGFBR2,TGFb,TGFB2 - (ACVR1C+TGFBR2)
TGFB3,ACVR1B_TGFbR2,TGFB3_ACVR1B_TGFBR2,TGFb,TGFB3 - (ACVR1B+TGFBR2)
TGFB3,ACVR1C_TGFbR2,TGFB3_ACVR1C_TGFBR2,TGFb,TGFB3 - (ACVR1C+TGFBR2)
TGFB1,ACVR1_TGFbR,TGFB1_ACVR1_TGFBR1,TGFb,TGFB1 - (ACVR1+TGFBR1)
TGFB2,ACVR1_TGFbR,TGFB2_ACVR1_TGFBR1,TGFb,TGFB2 - (ACVR1+TGFBR1)
TGFB3,ACVR1_TGFbR,TGFB3_ACVR1_TGFBR1,TGFb,TGFB3 - (ACVR1+TGFBR1)
BMP2,BMPR1A_ACVR2A,BMP2_BMPR1A_ACVR2A,BMP,BMP2 - (BMPR1A+ACVR2A)
BMP2,BMPR1A_ACVR2B,BMP2_BMPR1A_ACVR2B,BMP,BMP2 - (BMPR1A+ACVR2B)
BMP2,BMPR1A_BMPR2,BMP2_BMPR1A_BMPR2,BMP,BMP2 - (BMPR1A+BMPR2)
BMP2,BMPR1B_ACVR2A,BMP2_BMPR1B_ACVR2A,BMP,BMP2 - (BMPR1B+ACVR2A)
BMP2,BMPR1B_ACVR2B,BMP2_BMPR1B_ACVR2B,BMP,BMP2 - (BMPR1B+ACVR2B)
BMP2,BMPR1B_BMPR2,BMP2_BMPR1B_BMPR2,BMP,BMP2 - (BMPR1B+BMPR2)
BMP4,BMPR1A_ACVR2A,BMP4_BMPR1A_ACVR2A,BMP,BMP4 - (BMPR1A+ACVR2A)
BMP4,BMPR1A_ACVR2B,BMP4_BMPR1A_ACVR2B,BMP,BMP4 - (BMPR1A+ACVR2B)
BMP4,BMPR1A_BMPR2,BMP4_BMPR1A_BMPR2,BMP,BMP4 - (BMPR1A+BMPR2)
BMP4,BMPR1B_ACVR2A,BMP4_BMPR1B_ACVR2A,BMP,BMP4 - (BMPR1B+ACVR2A)
BMP4,BMPR1B_ACVR2B,BMP4_BMPR1B_ACVR2B,BMP,BMP4 - (BMPR1B+ACVR2B)
BMP4,BMPR1B_BMPR2,BMP4_BMPR1B_BMPR2,BMP,BMP4 - (BMPR1B+BMPR2)
GDF5,BMPR1A_ACVR2A,GDF5_BMPR1A_ACVR2A,BMP,GDF5 - (BMPR1A+ACVR2A)
GDF5,BMPR1A_ACVR2B,GDF5_BMPR1A_ACVR2B,BMP,GDF5 - (BMPR1A+ACVR2B)
GDF5,BMPR1A_BMPR2,GDF5_BMPR1A_BMPR2,BMP,GDF5 - (BMPR1A+BMPR2)
GDF5,BMPR1B_ACVR2A,GDF5_BMPR1B_ACVR2A,BMP,GDF5 - (BMPR1B+ACVR2A)
GDF5,BMPR1B_ACVR2B,GDF5_BMPR1B_ACVR2B,BMP,GDF5 - (BMPR1B+ACVR2B)
GDF5,BMPR1B_BMPR2,GDF5_BMPR1B_BMPR2,BMP,GDF5 - (BMPR1B+BMPR2)
GDF6,BMPR1A_ACVR2A,GDF6_BMPR1A_ACVR2A,BMP,GDF6 - (BMPR1A+ACVR2A)
GDF6,BMPR1A_ACVR2B,GDF6_BMPR1A_ACVR2B,BMP,GDF6 - (BMPR1A+ACVR2B)
GDF6,BMPR1A_BMPR2,GDF6_BMPR1A_BMPR2,BMP,GDF6 - (BMPR1A+BMPR2)
GDF6,BMPR1B_ACVR2A,GDF6_BMPR1B_ACVR2A,BMP,GDF6 - (BMPR1B+ACVR2A)
GDF6,BMPR1B_ACVR2B,GDF6_BMPR1B_ACVR2B,BMP,GDF6 - (BMPR1B+ACVR2B)
GDF6,BMPR1B_BMPR2,GDF6_BMPR1B_BMPR2,BMP,GDF6 - (BMPR1B+BMPR2)
GDF7,BMPR1A_ACVR2A,GDF7_BMPR1A_ACVR2A,BMP,GDF7 - (BMPR1A+ACVR2A)
GDF7,BMPR1A_ACVR2B,GDF7_BMPR1A_ACVR2B,BMP,GDF7 - (BMPR1A+ACVR2B)
GDF7,BMPR1A_BMPR2,GDF7_BMPR1A_BMPR2,BMP,GDF7 - (BMPR1A+BMPR2)
GDF7,BMPR1B_ACVR2A,GDF7_BMPR1B_ACVR2A,BMP,GDF7 - (BMPR1B+ACVR2A)
GDF7,BMPR1B_ACVR2B,GDF7_BMPR1B_ACVR2B,BMP,GDF7 - (BMPR1B+ACVR2B)
GDF7,BMPR1B_BMPR2,GDF7_BMPR1B_BMPR2,BMP,GDF7 - (BMPR1B+BMPR2)
BMP15,BMPR1B_BMPR2,BMP15_BMPR1B_BMPR2,BMP,BMP15 - (BMPR1B+BMPR2)
BMP5,ACVR1_ACVR2A,BMP5_ACVR1_ACVR2A,BMP,BMP5 - (ACVR1+ACVR2A)
