Ligand_symbol,Receptor_symbol,interaction_name,interaction_name_2
SEMA3F,PLXNA3,SEMA3F_PLXNA3,SEMA3F - PLXNA3
SEMA3F,PLXNA1,SEMA3F_PLXNA1,SEMA3F - PLXNA1
SEMA3F,NRP1,SEMA3F_NRP1,SEMA3F - NRP1
SEMA3F,NRP2,SEMA3F_NRP2,SEMA3F - NRP2
CX3CL1,CX3CR1,CX3CL1_CX3CR1,CX3CL1 - CX3CR1
HEBP1,ADRA2A,HEBP1_ADRA2A,HEBP1 - ADRA2A
HEBP1,MTNR1A,HEBP1_MTNR1A,HEBP1 - MTNR1A
HEBP1,FPR3,HEBP1_FPR3,HEBP1 - FPR3
HEBP1,GRM7,HEBP1_GRM7,HEBP1 - GRM7
DCN,EGFR,DCN_EGFR,DCN - EGFR
DCN,MET,DCN_MET,DCN - MET
DCN,ERBB4,DCN_ERBB4,DCN - ERBB4
GRN,TNFRSF1A,GRN_TNFRSF1A,GRN - TNFRSF1A
GRN,SORT1,GRN_SORT1,GRN - SORT1
GRN,TNFRSF1B,GRN_TNFRSF1B,GRN - TNFRSF1B
GRN,CLEC4M,GRN_CLEC4M,GRN - CLEC4M
GRN,EGFR,GRN_EGFR,GRN - EGFR
UTS2,UTS2R,UTS2_UTS2R,UTS2 - UTS2R
ICAM3,ITGAL,ICAM3_ITGAL,ICAM3 - ITGAL
ICAM3,CLEC4M,ICAM3_CLEC4M,ICAM3 - CLEC4M
ICAM3,ITGB2,ICAM3_ITGB2,ICAM3 - ITGB2
ICAM3,CD209,ICAM3_CD209,ICAM3 - CD209
ICAM3,ITGAD,ICAM3_ITGAD,ICAM3 - ITGAD
CEACAM1,CD209,CEACAM1_CD209,CEACAM1 - CD209
CEACAM1,SELE,CEACAM1_SELE,CEACAM1 - SELE
CEACAM1,EGFR,CEACAM1_EGFR,CEACAM1 - EGFR
PRLH,PRLHR,PRLH_PRLHR,PRLH - PRLHR
FGF4,FGFR2,FGF4_FGFR2,FGF4 - FGFR2
FGF4,FGFR4,FGF4_FGFR4,FGF4 - FGFR4
FGF4,FGFR1,FGF4_FGFR1,FGF4 - FGFR1
FGF4,FGFR3,FGF4_FGFR3,FGF4 - FGFR3
FGF4,NRP1,FGF4_NRP1,FGF4 - NRP1
ST6GAL1,EGFR,ST6GAL1_EGFR,ST6GAL1 - EGFR
ST6GAL1,CD22,ST6GAL1_CD22,ST6GAL1 - CD22
NTN1,UNC5D,NTN1_UNC5D,NTN1 - UNC5D
NTN1,UNC5B,NTN1_UNC5B,NTN1 - UNC5B
NTN1,DCC,NTN1_DCC,NTN1 - DCC
NTN1,UNC5A,NTN1_UNC5A,NTN1 - UNC5A
NTN1,ADORA2B,NTN1_ADORA2B,NTN1 - ADORA2B
NTN1,UNC5C,NTN1_UNC5C,NTN1 - UNC5C
NTN1,NEO1,NTN1_NEO1,NTN1 - NEO1
SCT,PTH1R,SCT_PTH1R,SCT - PTH1R
SCT,ADCYAP1R1,SCT_ADCYAP1R1,SCT - ADCYAP1R1
SCT,RAMP2,SCT_RAMP2,SCT - RAMP2
SCT,VIPR1,SCT_VIPR1,SCT - VIPR1
SCT,RAMP3,SCT_RAMP3,SCT - RAMP3
SCT,GPR20,SCT_GPR20,SCT - GPR20
SCT,ADRB2,SCT_ADRB2,SCT - ADRB2
SCT,VIPR2,SCT_VIPR2,SCT - VIPR2
SCT,ADRB3,SCT_ADRB3,SCT - ADRB3
SCT,TSHR,SCT_TSHR,SCT - TSHR
SCT,GPR84,SCT_GPR84,SCT - GPR84
SCT,SCTR,SCT_SCTR,SCT - SCTR
FGF20,FGFR3,FGF20_FGFR3,FGF20 - FGFR3
FGF20,FGFR1,FGF20_FGFR1,FGF20 - FGFR1
FGF20,FGFR4,FGF20_FGFR4,FGF20 - FGFR4
FGF20,FGFR2,FGF20_FGFR2,FGF20 - FGFR2
