Ligand_symbol,Receptor_symbol,interaction_name,interaction_name_2
Wnt3,Fzd6,Wnt3_Fzd6,Wnt3 - Fzd6
Wnt3,Egfr,Wnt3_Egfr,Wnt3 - Egfr
Wnt3,Fzd2,Wnt3_Fzd2,Wnt3 - Fzd2
Wnt3,Lrp5,Wnt3_Lrp5,Wnt3 - Lrp5
Wnt3,Fzd1,Wnt3_Fzd1,Wnt3 - Fzd1
Wnt3,Fzd3,Wnt3_Fzd3,Wnt3 - Fzd3
Wnt3,Fzd8,Wnt3_Fzd8,Wnt3 - Fzd8
Wnt3,Ror1,Wnt3_Ror1,Wnt3 - Ror1
Wnt3,Lrp6,Wnt3_Lrp6,Wnt3 - Lrp6
Wnt3,Ror2,Wnt3_Ror2,Wnt3 - Ror2
Wnt3,Fzd5,Wnt3_Fzd5,Wnt3 - Fzd5
Wnt3,Fzd7,Wnt3_Fzd7,Wnt3 - Fzd7
Wnt9a,Egfr,Wnt9a_Egfr,Wnt9a - Egfr
Wnt9a,Fzd7,Wnt9a_Fzd7,Wnt9a - Fzd7
Wnt9a,Fzd9,Wnt9a_Fzd9,Wnt9a - Fzd9
Wnt9a,Fzd4,Wnt9a_Fzd4,Wnt9a - Fzd4
Fgf23,Fgfr1,Fgf23_Fgfr1,Fgf23 - Fgfr1
Fgf23,Fgfr4,Fgf23_Fgfr4,Fgf23 - Fgfr4
Fgf23,Fgfr2,Fgf23_Fgfr2,Fgf23 - Fgfr2
Fgf23,Fgfr3,Fgf23_Fgfr3,Fgf23 - Fgfr3
Fgf23,Kl,Fgf23_Kl,Fgf23 - Kl
Fgf6,Fgfr1,Fgf6_Fgfr1,Fgf6 - Fgfr1
Fgf6,Fgfr4,Fgf6_Fgfr4,Fgf6 - Fgfr4
Fgf6,Fgfr2,Fgf6_Fgfr2,Fgf6 - Fgfr2
Fgf6,Fgfr3,Fgf6_Fgfr3,Fgf6 - Fgfr3
Ccl2,Ccr4,Ccl2_Ccr4,Ccl2 - Ccr4
Ccl2,Ccr2,Ccl2_Ccr2,Ccl2 - Ccr2
Ccl2,Ackr1,Ccl2_Ackr1,Ccl2 - Ackr1
Ccl2,Ackr2,Ccl2_Ackr2,Ccl2 - Ackr2
Ccl12,Ccr4,Ccl12_Ccr4,Ccl12 - Ccr4
Ccl12,Ccr2,Ccl12_Ccr2,Ccl12 - Ccr2
Cdh1,Egfr,Cdh1_Egfr,Cdh1 - Egfr
Cdh1,Fgfr1,Cdh1_Fgfr1,Cdh1 - Fgfr1
Cdh1,Itgb7,Cdh1_Itgb7,Cdh1 - Itgb7
Cdh1,Ptprj,Cdh1_Ptprj,Cdh1 - Ptprj
Cdh1,Itgae,Cdh1_Itgae,Cdh1 - Itgae
Cdh1,Ptprm,Cdh1_Ptprm,Cdh1 - Ptprm
Cdh1,Igf1r,Cdh1_Igf1r,Cdh1 - Igf1r
Cdh1,Klrg1,Cdh1_Klrg1,Cdh1 - Klrg1
Ccl11,Ccr2,Ccl11_Ccr2,Ccl11 - Ccr2
Ccl11,Ackr2,Ccl11_Ackr2,Ccl11 - Ackr2
Ccl11,Ccr5,Ccl11_Ccr5,Ccl11 - Ccr5
Ccl11,Cxcr3,Ccl11_Cxcr3,Ccl11 - Cxcr3
Ccl11,Ccr3,Ccl11_Ccr3,Ccl11 - Ccr3
Ccl11,Ackr4,Ccl11_Ackr4,Ccl11 - Ackr4
Pdgfb,Lrp1,Pdgfb_Lrp1,Pdgfb - Lrp1
Pdgfb,Pdgfra,Pdgfb_Pdgfra,Pdgfb - Pdgfra
Pdgfb,Pdgfrb,Pdgfb_Pdgfrb,Pdgfb - Pdgfrb
Fasl,Fas,Fasl_Fas,Fasl - Fas
Il4,Il4ra,Il4_Il4ra,Il4 - Il4ra
Il4,Il2ra,Il4_Il2ra,Il4 - Il2ra
Il4,Tlr2,Il4_Tlr2,Il4 - Tlr2
Il4,Il2rg,Il4_Il2rg,Il4 - Il2rg
Il4,Il13ra1,Il4_Il13ra1,Il4 - Il13ra1
Il4,Il13ra2,Il4_Il13ra2,Il4 - Il13ra2
Ccl3,Ackr2,Ccl3_Ackr2,Ccl3 - Ackr2
Ccl3,Ccr5,Ccl3_Ccr5,Ccl3 - Ccr5
Ccl3,Ccr3,Ccl3_Ccr3,Ccl3 - Ccr3
Ccl3,Ccr1,Ccl3_Ccr1,Ccl3 - Ccr1
Icam4,Itgav,Icam4_Itgav,Icam4 - Itgav
Icam4,Itgam,Icam4_Itgam,Icam4 - Itgam
S100a4,Egfr,S100a4_Egfr,S100a4 - Egfr
S100a4,Erbb2,S100a4_Erbb2,S100a4 - Erbb2
Icam2,Itgam,Icam2_Itgam,Icam2 - Itgam
Icam2,Itgal,Icam2_Itgal,Icam2 - Itgal
Icam2,Itgb2,Icam2_Itgb2,Icam2 - Itgb2
Efnb2,Ephb2,Efnb2_Ephb2,Efnb2 - Ephb2
Efnb2,Epha3,Efnb2_Epha3,Efnb2 - Epha3
Efnb2,Epha4,Efnb2_Epha4,Efnb2 - Epha4
Efnb2,Ephb3,Efnb2_Ephb3,Efnb2 - Ephb3
Efnb2,Epha7,Efnb2_Epha7,Efnb2 - Epha7
Efnb2,Ephb4,Efnb2_Ephb4,Efnb2 - Ephb4
Efnb2,Epha6,Efnb2_Epha6,Efnb2 - Epha6
Efnb2,Ephb6,Efnb2_Ephb6,Efnb2 - Ephb6
Efnb2,Ephb1,Efnb2_Ephb1,Efnb2 - Ephb1
Sost,Lrp5,Sost_Lrp5,Sost - Lrp5
Sost,Lrp6,Sost_Lrp6,Sost - Lrp6
Col1a1,Itgb1,Col1a1_Itgb1,Col1a1 - Itgb1
Col1a1,Cd44,Col1a1_Cd44,Col1a1 - Cd44
Col1a1,Cd93,Col1a1_Cd93,Col1a1 - Cd93
Il16,Grin2c,Il16_Grin2c,Il16 - Grin2c
Il16,Kcnj4,Il16_Kcnj4,Il16 - Kcnj4
Il16,Grin2d,Il16_Grin2d,Il16 - Grin2d
Il16,Kcna3,Il16_Kcna3,Il16 - Kcna3
Il16,Kcnd2,Il16_Kcnd2,Il16 - Kcnd2
Il16,Kcnj15,Il16_Kcnj15,Il16 - Kcnj15
Il16,Kcnd1,Il16_Kcnd1,Il16 - Kcnd1
Il16,Cd4,Il16_Cd4,Il16 - Cd4
Il16,Kcnj10,Il16_Kcnj10,Il16 - Kcnj10
Angptl4,Gpihbp1,Angptl4_Gpihbp1,Angptl4 - Gpihbp1
Bmp8b,Acvr2b,Bmp8b_Acvr2b,Bmp8b - Acvr2b
Bmp8b,Bmpr1b,Bmp8b_Bmpr1b,Bmp8b - Bmpr1b
Bmp8b,Acvr2a,Bmp8b_Acvr2a,Bmp8b - Acvr2a
Bmp8b,Tgfbr2,Bmp8b_Tgfbr2,Bmp8b - Tgfbr2
Bmp8b,Bmpr2,Bmp8b_Bmpr2,Bmp8b - Bmpr2
Bmp8b,Bmpr1a,Bmp8b_Bmpr1a,Bmp8b - Bmpr1a
Tgfb1,Itgb1,Tgfb1_Itgb1,Tgfb1 - Itgb1
Tgfb1,Tgfbr2,Tgfb1_Tgfbr2,Tgfb1 - Tgfbr2
Tgfb1,Tgfbr1,Tgfb1_Tgfbr1,Tgfb1 - Tgfbr1
Tgfb1,Eng,Tgfb1_Eng,Tgfb1 - Eng
Tgfb1,Sdc2,Tgfb1_Sdc2,Tgfb1 - Sdc2
Tgfb1,Tgfbr3,Tgfb1_Tgfbr3,Tgfb1 - Tgfbr3
Tgfb1,Itgb8,Tgfb1_Itgb8,Tgfb1 - Itgb8
Tgfb1,Acvrl1,Tgfb1_Acvrl1,Tgfb1 - Acvrl1
Shh,Cdon,Shh_Cdon,Shh - Cdon
